Cereal Name,Manufacturer,Type,Calories,Protein (g),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
Just Right Crunchy  Nuggets,Kelloggs,C,110,2,1,170,1,17,6,3,60,100,1,0
Just Right Fruit & Nut,Kelloggs,C,140,3,1,170,2,20,9,3,95,100,1.3,0.75
Kix,General Mills,C,110,2,1,260,0,21,3,2,40,25,1,1.5
Life,Quaker Oats,C,100,4,2,150,2,12,6,2,95,25,1,0.67
Lucky Charms,General Mills,C,110,2,1,180,0,12,12,2,55,25,1,1
Maypo,American Home Food Products,H,100,4,1,0,0,16,3,2,95,25,1,0
Mueslix Crispy Blend,Kelloggs,C,160,3,2,150,3,17,13,3,160,25,1.5,0.67
Multi-Grain Cheerios,General Mills,C,100,2,1,220,2,15,6,1,90,25,1,1
Nut&Honey Crunch,Kelloggs,C,120,2,1,190,0,15,9,2,40,25,1,0.67
Nutri-Grain Almond-Raisin,Kelloggs,C,140,3,2,220,3,21,7,3,130,25,1.33,0.67
Nutri-grain Wheat,Kelloggs,C,90,3,0,170,3,18,2,3,90,25,1,0
Oatmeal Raisin Crisp,General Mills,C,130,3,2,170,1.5,13.5,10,3,120,25,1.25,0.5
Post Nat. Raisin Bran,Post,C,120,3,1,200,6,11,14,3,260,25,1.33,0.67
Product 19,Kelloggs,C,100,3,0,320,1,20,3,3,45,100,1,1
Puffed Rice,Quaker Oats,C,50,1,0,0,0,13,0,3,15,0,0.5,1
Puffed Wheat,Quaker Oats,C,50,2,0,0,1,10,0,3,50,0,0.5,0
Quaker Oat Squares,Quaker Oats,C,100,4,1,135,2,14,6,3,110,25,1,0.5
Quaker Oatmeal,Quaker Oats,H,100,5,2,0,2.7,0,0,1,110,0,1,0.67
Raisin Bran,Kelloggs,C,120,3,1,210,5,14,12,2,240,25,1.33,0.75
Raisin Nut Bran,General Mills,C,100,3,2,140,2.5,10.5,8,3,140,25,1,0.5
Raisin Squares,Kelloggs,C,90,2,0,0,2,15,6,3,110,25,1,0.5
Rice Chex,Ralston Purina,C,110,1,0,240,0,23,2,1,30,25,1,1.13
Rice Krispies,Kelloggs,C,110,2,0,290,0,22,3,1,35,25,1,1
Shredded Wheat,Nabisco,C,80,2,0,0,3,16,0,1,95,0,0.83,0
Shredded Wheat 'n'Bran,Nabisco,C,90,3,0,0,4,19,0,1,140,0,1,0.67
Shredded Wheat spoon size,Nabisco,C,90,3,0,0,3,20,0,1,120,0,1,0.67
Smacks,Kelloggs,C,110,2,1,70,1,9,15,2,40,25,1,0.75
Special K,Kelloggs,C,110,6,0,230,1,16,3,1,55,25,1,1
Strawberry Fruit Wheats,Nabisco,C,90,2,0,15,3,15,5,2,90,25,1,0
Total Corn Flakes,General Mills,C,110,2,1,200,0,21,3,3,35,100,1,1
Total Raisin Bran,General Mills,C,140,3,1,190,4,15,14,3,230,100,1.5,1
Total Whole Grain,General Mills,C,100,3,1,200,3,16,3,3,110,100,1,1
Triples,General Mills,C,110,2,1,250,0,21,3,3,60,25,1,0.75
Trix,General Mills,C,110,1,1,140,0,13,12,2,25,25,1,1
Wheat Chex,Ralston Purina,C,100,3,1,230,3,17,3,1,115,25,1,0.67
Wheaties,General Mills,C,100,3,1,200,3,17,3,1,110,25,1,1
Wheaties Honey Gold,General Mills,C,110,2,1,200,1,16,8,1,60,25,1,0.75
